uid,anime_uid,score
292843,34944,4
301340,34944,9
306157,34944,8
288044,34944,8
289802,34944,7
276134,34944,9
279924,34944,7
275844,34944,8
283852,34944,3
181645,1689,4
204255,1689,7
181985,1689,9
226878,1689,5
142627,1689,3
187298,1689,9
112659,1689,3
23726,1689,10
126253,1689,9
1663,1689,10
94971,1689,9
1052,1689,9
10322,1689,8
615,1689,8
41031,1689,6
7341,1689,4
29867,1689,7
3980,1689,6
152561,1689,7
7905,1689,10
138783,552,9
194053,552,4
176719,552,7
296125,552,9
169863,552,10
42505,552,9
4185,552,7
190469,552,10
41843,552,9
135901,552,7
53281,552,10
42479,552,9
138787,552,7
29372,552,10
314333,552,9
178085,552,8
97781,552,10
26861,552,8
14684,552,8
182070,552,9
308415,38145,7
313751,38145,8
301635,38145,9
303232,38145,8
304543,38145,9
310290,38145,10
304473,38145,9
300461,38145,9
304479,38145,8
304495,38145,10
304503,38145,8
303760,38145,3
300507,38145,8
300502,38145,8
304476,38145,8
304498,38145,8
300395,38145,9
304496,38145,10
300393,38145,8
304475,38145,10
214180,31637,6
223219,31637,8
219020,31637,4
302746,31637,8
220700,31637,9
320933,31637,10
216255,31637,8
215506,31637,4
217789,31637,4
214987,31637,8
303831,31637,9
215295,31637,10
216563,31637,4
214063,31637,7
218190,31637,3
220549,31637,2
214541,31637,8
216057,31637,8
214058,31637,8
214154,31637,2
316500,5680,9
55079,5680,8
14695,5680,10
194313,5680,2
16041,5680,9
181455,5680,7
299910,5680,9
15125,5680,9
48733,5680,7
20591,5680,6
31761,5680,5
33895,5680,4
15535,5680,9
186811,5680,3
13806,5680,9
178837,5680,6
16123,5680,7
15186,5680,10
69553,5680,5
21816,5680,6
322540,27633,9
236200,27633,7
313410,27633,8
222232,27633,8
192617,27633,7
180324,27633,10
320191,36369,5
320252,36369,8
284474,33280,8
216548,451,9
263116,33280,6
147171,451,8
319941,451,7
17703,451,9
21105,451,9
38576,451,10
191046,451,9
15450,451,9
54475,5680,8
14076,5680,7
90777,5680,9
64521,5680,1
18948,5680,6
136303,5680,10
17522,5680,1
180833,5680,6
14481,5680,2
46685,5680,2
39457,5680,3
14484,5680,9
27796,5680,9
16018,5680,9
31147,5680,5
15750,5680,8
16235,5680,8
22081,5680,2
15897,5680,6
110759,5680,9
305831,6862,7
178928,6862,9
24948,6862,8
88461,6862,7
259062,35363,8
259016,35363,2
258858,35363,8
258769,35363,9
311067,32863,7
144651,11001,10
205836,322,9
26401,322,7
28691,322,9
88927,322,8
114873,322,9
319236,38958,7
281581,4472,9
288797,7645,9
153281,7645,8
35221,97,6
200344,468,6
197177,468,7
265532,468,9
198609,468,7
316221,468,8
270334,468,6
246029,468,4
170309,468,9
211018,468,9
68473,468,10
54771,322,8
25842,322,9
58493,322,8
8333,322,10
79092,322,10
101515,322,9
26876,322,10
29768,322,10
52765,322,10
70995,322,7
73931,322,9
199124,322,7
110683,322,8
77463,322,10
73817,322,7
24718,322,9
13182,322,10
19147,322,8
249374,322,4
62313,322,6
112133,97,5
94151,97,10
207739,97,9
232724,97,9
27319,97,10
281676,97,8
32139,97,5
205040,97,8
217401,97,9
325395,97,6
180165,97,6
48039,97,8
6943,97,9
7621,97,10
37696,97,8
31557,97,4
198247,97,9
84635,97,8
299995,97,8
288297,7645,7
178409,7645,10
25977,7645,8
38433,7645,5
216126,468,4
296775,468,6
247611,468,6
20267,468,7
90585,468,8
60595,468,10
181832,468,9
42223,468,9
30047,468,10
23224,468,6
187804,468,9
132597,468,1
99335,468,8
287356,468,3
262205,468,6
100185,468,9
1750,468,9
152785,468,7
42755,468,3
8875,468,9
220061,322,9
230520,322,7
4375,322,7
66121,322,9
21907,322,10
21503,322,10
225978,322,7
287339,322,6
291401,322,8
255537,322,5
220588,322,6
211069,322,10
237063,322,8
240445,322,6
268764,322,9
235045,322,5
191255,322,7
324964,39940,9
325098,39940,3
325320,39940,6
324369,39940,9
24216,97,10
284711,97,6
247092,97,10
11343,97,9
286916,97,5
71977,322,8
135069,322,6
23300,322,10
18172,97,6
88657,97,6
78623,97,10
23511,97,9
30952,97,10
34740,97,5
123585,97,9
1441,97,8
5148,97,7
42289,97,7
46505,97,7
219322,97,9
207,97,7
29554,97,8
81820,4472,4
1997,97,8
14026,4472,8
317510,4472,10
31995,4472,7
317546,4472,9
169341,4472,4
14754,4472,9
58481,4472,10
8428,4472,6
8476,4472,8
31539,4472,6
11455,4472,9
8199,4472,9
298417,38958,10
297796,38958,10
297917,38958,9
297870,38958,10
297731,38958,10
228986,322,7
190332,322,10
55177,322,7
9762,322,10
161131,322,8
9712,322,6
206423,322,7
128467,322,8
34895,322,7
17621,322,9
593,322,8
920,322,7
130073,322,10
613,322,8
5874,322,9
322099,39940,3
322869,39940,8
323928,39940,4
325406,39940,5
324326,39940,9
325386,39940,5
321852,39940,8
322288,39940,5
324966,39940,5
324678,39940,6
322269,39940,10
322301,39940,9
324942,39940,8
324956,39940,9
324957,39940,5
321142,39940,6
324952,39940,5
321455,39940,3
321163,39940,5
87129,11001,10
87209,11001,8
321214,39940,9
80304,4181,10
146039,4181,9
26459,4181,8
26452,4181,8
59177,4181,10
217685,19319,9
290807,19319,7
138971,19319,8
56255,1571,9
322302,38770,8
320921,38770,6
309363,38770,10
150083,5005,8
205329,18397,6
155371,1571,8
8682,1571,9
38470,1571,9
10814,269,9
22179,269,7
303893,269,5
34714,269,4
290867,202,10
240636,1571,9
263230,1571,9
264045,1571,9
166021,269,7
185164,269,5
230900,202,6
2018,202,10
221453,1571,10
80000,1571,9
20555,269,3
62447,269,7
24458,269,5
314305,269,5
57035,202,10
33413,202,9
